Date,trapVisitID,subSiteName,visitType,trapFunctioning,fishProcessed,sampleStart,sampleEnd,counterAtEnd,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,ConeDebrisIntake1,ConeDebrisIntake2,debrisVolume,debrisType,includeCatch,includeCatchComments,TrapVisit.comments
2017/02/01 00:00:00,8302,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,NA,2017/02/01 15:48:00,NA,NA,1.6,NA,NA,NA,NA,Yes,NA,NA
2017/02/02 00:00:00,8303,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/02/01 15:48:00,2017/02/02 12:50:00,NA,0,1,NA,NA,5,Terrestrial,Yes,Data included in analysis because cannot impute: first trap visit of season.,Intake debris 0/1. Counter not recorded: clicker not installed.
2017/02/03 00:00:00,8304,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/02/02 12:50:00,2017/02/03 09:58:00,NA,1.3,1.3,NA,NA,5,Terrestrial,Yes,NA,Intake debris 0/0. Counter not recorded: clicker not installed.
2017/02/04 00:00:00,8305,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/02/03 09:58:00,2017/02/04 09:59:00,NA,1.3,1.3,NA,NA,3,Terrestrial,Yes,NA,Intake debris 0/0. Counter not recorded: clicker not installed.
2017/02/05 00:00:00,8309,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/02/04 09:59:00,2017/02/05 08:59:00,NA,1.3,1.3,NA,NA,2,Terrestrial,Yes,NA,Intake debris 0/0. Counter not recorded: clicker not installed.
2017/02/06 00:00:00,8310,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/02/05 08:59:00,2017/02/06 09:20:00,NA,1.5,1.4,NA,NA,6,Terrestrial,Yes,NA,Intake debris 0/0. Counter not recorded: clicker not installed.
2017/02/07 00:00:00,8311,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/02/06 09:20:00,2017/02/07 09:41:00,NA,1.7,1.6,NA,NA,9,Terrestrial,Yes,NA,Intake debris 0/0. Counter not recorded: clicker not installed.
2017/02/08 00:00:00,8312,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/02/07 09:41:00,2017/02/08 10:25:00,NA,2.8,2.9,NA,NA,32,Terrestrial,Yes,NA,Intake debris 0/0. Counter not recorded: clicker not installed.
2017/02/09 00:00:00,8313,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/02/08 10:25:00,2017/02/09 11:37:00,NA,0,2.7,NA,NA,35,Terrestrial,Yes,Data included in analysis because actual catch greater than imputed catch.,Intake debris 3/3. Counter not recorded: clicker not installed. Trap was stopped with heavy debris. Flows had risen from 1250 to 2200 cfs.
2017/02/10 00:00:00,8314,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/02/09 13:24:00,2017/02/10 10:09:00,914,0,3.5,NA,NA,40,Terrestrial,Yes,Data included in analysis because actual catch greater than imputed catch.,Intake debris 2/1.
2017/02/11 00:00:00,8315,ST004L1,End trapping,Trap stopped functioning,Processed fish,2017/02/10 10:09:00,2017/02/11 10:36:00,2587,0,NA,NA,NA,55,Terrestrial,Yes,Data included in analysis because actual catch greater than imputed catch.,Intake debris 3/1.
2017/02/12 00:00:00,8324,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,NA,2017/02/12 17:00:00,NA,NA,3.1,NA,NA,NA,NA,Yes,NA,NA
2017/02/13 00:00:00,8325,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/02/12 17:00:00,2017/02/13 10:08:00,NA,0,1.9,NA,NA,16,Terrestrial,Yes,Data included in analysis because actual catch greater than imputed catch.,Intake debris 1/1.
2017/02/14 00:00:00,8327,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/02/13 10:08:00,2017/02/14 10:08:00,1725,0.6,0.5,NA,NA,6,Terrestrial,Yes,NA,Intake debris 0/0. Cone not spinning due to low flows.
2017/02/15 00:00:00,8333,ST004L1,Continue trapping,"Trap functioning, but not normally",Processed fish,2017/02/14 10:08:00,2017/02/15 13:08:00,NA,0,0,NA,NA,1,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 0/0. Cone not spinning due to low flows.
2017/02/16 00:00:00,8334,ST004L1,Continue trapping,"Trap functioning, but not normally",Processed fish,2017/02/15 13:08:00,2017/02/16 09:12:00,NA,0,0,NA,NA,3,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 0/0. Cone not spinning due to low flows.
